,user_id,author_id,author,title,year,abstract,co_author,coauthor_id,title_id
21,22,1021,"Frederick P. Brooks, Jr","Neurogenesis-Inspired Dictionary Learning: Online Model Adaption in a
  Changing World",1990,"We began in 1967 a project to develop a haptic+display for 6-D force fields of interacting protein molecules. We approached it in four stages: a 2-D system, a 3-D system tested with a simple task, a 6-D system tested with a simple task, and a full 6-D molecular docking system, our initial goal. This paper summarizes the entire project---the four systems, the evaluation experiments, the results, and our observations. The molecular docking system results are new.Our principal conclusions are:� Haptic display as an augmentation to visual display can improve perception and understanding both of force fields and of world models populated with impenetrable objects.� Whereas man-machine systems can outperform computer-only systems by orders of magnitude on some problems, haptic-augmented interactive systems seem to give about a two-fold performance improvement over purely graphical interactive systems. Better technology may give somewhat more, but a ten-fold improvement does not seem to be in the cards.� Chemists using GROPE-III can readily reproduce the true docking positions for drugs whose docking is known (but not to them) and can find very good docks for drugs whose true docks are unknown. The present tool promises to yield new chemistry research results; it is being actively used by research chemists.� The most valuable result from using GROPE-III for drug docking is probably the radically improved situation awareness that serious users report. Chemists say they have a new understanding of the details of the receptor site and its force fields, and of why a particular drug docks well or poorly.� We see various scientific/education applications for haptic displays but believe entertainment, not scientific visualization, will drive and pace the technology.� The hardware-software system technology we have used is barely adequate, and our experience sets priorities for future development.� Some unexpected perceptual phenomena were observed. All of these worked for us, not against us.","Frederick P. Brooks, Jr.",1022,70
22,23,1022,"Frederick P. Brooks, Jr.","Borrowing Treasures from the Wealthy: Deep Transfer Learning through
  Selective Joint Fine-tuning",1987,First Page of the Article,"Frederick P. Brooks, Jr.",1022,62
23,24,1023,Ware Myers,"Aligned Image-Word Representations Improve Inductive Transfer Across
  Vision-Language Tasks",1989,"The role of software in the success of the Strategic Defense System, as reflected in the keynote address and papers at the Second International Conference on Software for Strategic Systems, in Huntsville, Alabama, October 26, 1988, is discussed. The dominant theme is that making huge aggregations of weapons work together depends on well-conceived architecture and battle-scale simulation, which takes increased investment in software environments. The issues of software reliability, software engineering environments, simulation, and software productivity are examined. An approach to software engineering called the Ada process model is defined and characterized by a set of guidelines.",Ware Myers,1023,78
24,25,1023,Ware Myers,Universal Adversarial Perturbations Against Semantic Image Segmentation,1984,First Page of the Article,Ware Myers,1023,53
25,26,1025,Rudolf Fleischer,The loss surface of deep and wide neural networks,1990,"We study rigid motions of a rectangle amidst polygonal obstacles. The best known algorithms for this problem have running time &OHgr;(n2) where n is the number of obstacle corners. We introduce the tightness of a motion planning problem as a measure of the difficulty of a planning problem in an intuitive sense and describe an algorithm with running time &ogr;((a/b � 1/&egr; crit + 1)n(log n)2), where a ? b are the lengths of the sides of a rectangle and &egr;crit is the tightness of the problem. We show further that the complexity (= number of vertices) of the boundary of n bow-ties (c.f. Figure 1.1) is &Ogr;(n). Similar results for the union of other simple geometric figures such as triangles and wedges are also presented.",Michael Kaufmann,1015,24
26,27,1026,Robert L. Brown,"Semantically Decomposing the Latent Spaces of Generative Adversarial
  Networks",1984,First Page of the Article,Peter J. Denning,1028,16
27,28,1027,Karen A. Frenkel,Variants of RMSProp and Adagrad with Logarithmic Regret Bounds,1986,Twentieth-century techniques such as computer-aided engineering and finite-element analysis were used to restore the nineteenth-century monument,Karen A. Frenkel,1027,31
28,29,1028,Peter J. Denning,"ALICE: Towards Understanding Adversarial Learning for Joint Distribution
  Matching",1991,"The National Research Council's Computer Science and Telecommunications Board (CSTB) chartered a two-year study on the scope and directions of computer science. As part of this study, ACM was asked to provide input on three important questions, the answers to which could have significant impact on the future direction of our discipline and profession.",Barbara Simons,1029,19
29,30,1029,Barbara Simons,"A systematic study of the class imbalance problem in convolutional
  neural networks",1991,"The National Research Council's Computer Science and Telecommunications Board (CSTB) chartered a two-year study on the scope and directions of computer science. As part of this study, ACM was asked to provide input on three important questions, the answers to which could have significant impact on the future direction of our discipline and profession.",A. Joe Turner,1093,19
30,31,1028,Peter J. Denning,Regularization for Deep Learning: A Taxonomy,1989,"NeXT, Inc. President and CEO Steve Jobs (left), and VP of Sales and Marketing, Dan'l Lewin, discuss the goals of the new company, and the NeXT Computer System itself.",Karen A. Frenkel,1027,2
31,32,1028,Peter J. Denning,Clustering with Deep Learning: Taxonomy and New Methods,1985,"As everyone knows, the computer industry is passing through a period of great change. I was speaking recently to a senior executive in one of the large companies vigorously working to meet the developing situation. The question he posed was: �Could it have been predicted?�",Peter J. Denning,1028,82
32,33,1032,Eli Upfal,"Coarse to fine non-rigid registration: a chain of scale-specific neural
  networks for multimodal image alignment with application to remote sensing",1987,"The power of shared-memory in models of parallel computation is studied, and a novel distributed data structure that eliminates the need for shared memory without significantly increasing the run time of the parallel computation is described. More specifically, it is shown how a complete network of processors can deterministically simulate one PRAM step in O(log n/(log log n)2) time when both models use n processors and the size of the PRAM's shared memory is polynomial in n. (The best previously known upper bound was the trivial O(n)). It is established that this upper bound is nearly optimal, and it is proved that an on-line simulation of T PRAM steps by a complete network of processors requires &OHgr;(T(log n/ log log n)) time.A simple consequence of the upper bound is that an Ultracomputer (the currently feasible general-purpose parallel machine) can simulate one step of a PRAM (the most convenient parallel model to program) in O((log n)2log log n) steps.",Avi Wigderson,1038,50
33,34,1032,Eli Upfal,Describing Videos by Exploiting Temporal Structure,1988,"Two conflicting goals play a crucial role in the design of routing schemes for communication networks. A routing scheme should use as short as possible paths for routing messages in the network, while keeping the routing information stored in the processors' local memory as succinct as possible. The efficiency of a routing scheme is measured in terms of its stretch factor - the maximum ratio between the length of a route computed by the scheme and that of a shortest path connecting the same pair of vertices.Most previous work has concentrated on finding good routing schemes (with a small fixed stretch factor) for special classes of network topologies. In this work we study the problem for general networks, and look at the entire range of possible stretch factors. The results exhibit a tradeoff between the efficiency of a routing scheme and its space requirements. We present almost tight upper and lower bounds for this tradeoff. Specifically, we prove that any routing scheme for general n-vertex networks that achieves a stretch factor k ? 1 must use a total of &OHgr;(n1+1/2k+4) bits of routing information in the networks. This lower bound is complemented by a family H(k) of hierarchical routing schemes (for every fixed k ? 1), which guarantee a stretch factor of &Ogr;(k), require storing a total of &Ogr;(n1+1/k) bits of routing information in the network and name the vertices with &Ogr;(log2 n)-bit names.",David Peleg,1040,15
34,35,1034,Manuel Blum,"Collaborative Recurrent Autoencoder: Recommend while Learning to Fill in
  the Blanks",1991,"The notion of program checking is extended to include programs that alter their environment, in particular, programs that store and retrieve data from memory. The model considered allows the checker a small amount of reliable memory. The checker is presented with a sequence of requests (online) to a data structure which must reside in a large but unreliable memory. The data structure is viewed as being controlled by an adversary. The checker is to perform each operation in the input sequence using its reliable memory and the unreliable data structure so that any error in the operation of the structure will be detected by the checker with high probability. Checkers for various data structures are presented. Lower bounds of log n on the amount of reliable memory needed by these checkers, where n is the size of the structure, are proved.",Sampath Kannan,1036,27
35,36,1035,Abhijit Ghosh,Sentiment Classification using Images and Label Embeddings,1991,"The problem of verifying the equivalence of interacting finite state machines (FSMs) described at the logic level is addressed. The problem is formulated as that of checking for the equivalence of the reset/starting states of the two FSMs. First, separate sum-of-product representations of the ON-sets and OFF-sets of each of the flip-flop inputs and primary outputs of the sequential circuit, are extracted using the PODEM algorithm. We describe a fast algorithm for state differentiation based on this representation. The input as well as the state space is implicitly enumerated through a process of repeated cube intersections to generate the State Transition Graph (STG).In contrast to previous approaches, this algorithm can be efficiently generalized for verifying distributed-style specifications of interacting sequential circuits, exploiting the nature of the interconnection topology. Pipeline latches in a distributed-style specification typically do not add complexity to the sequential behavior of a circuit, but greatly add to the complexity of traditional approaches to verifying sequential circuits. Pipeline latches are easily incorporated into our generalized, hierarchical verification strategy whereby the states of pipeline latches can be implicitly enumerated.Experimental results indicate the superior efficiency of this approach as compared to previous approaches for FSM verification. It is possible to verify examples with more than 1050 states.",Srinivas Devadas,1041,86
36,37,1036,Sampath Kannan,Natural-Parameter Networks: A Class of Probabilistic Neural Networks,1988,"How to represent a graph in memory is a fundamental data structuring question. In the usual representations of an n-node graph, the names of the nodes (i.e. integers from 1 to n) betray nothing about the graph itself. Indeed, the names (or labels) on the n nodes are just logn bit place holders to allow data on the edges to code for the structure of the graph. In our scenario, there is no such waste. By assigning &Ogr;(logn) bit labels to the nodes, we completely code for the structure of the graph, so that given the labels of two nodes we can test if they are adjacent in time linear in the size of the labels. Furthermore, given an arbitrary original labeling of the nodes, we can find structure coding labels (as above) that are no more than a small constant factor larger than the original labels. These notions are intimately related to vertex induced universal graphs of polynomial size. For example, we can label planar graphs with structure coding labels of size n. This implies the existence of a graph with n4 nodes that contains all n-node planar graphs as vertex induced subgraphs (It was not previously known that this class had polynomial sized universal graphs). The theorems on finite graphs extend to a theorem about the constrained labeling of infinite graphs.",Moni Naor,1076,51
37,38,1037,Manuel Blum,Learning to Perform Physics Experiments via Deep Reinforcement Learning,1988,"We show that interaction in any zero-knowledge proof can be replaced by sharing a common, short, random string. We use this result to construct the first public-key cryptosystem secure against chosen ciphertext attack.",Paul Feldman,1043,63
38,39,1038,Avi Wigderson,A Network-based End-to-End Trainable Task-oriented Dialogue System,1985,"A parallel algorithm is presented that accepts as input a graph G and produces a maximal independent set of vertices in G. On a P-RAM without the concurrent write or concurrent read features, the algorithm executes in O((log n)4) time and uses O((n/(log n))3) processors, where n is the number of vertices in G. The algorithm has several novel features that may find other applications. These include the use of balanced incomplete block designs to replace random sampling by deterministic sampling, and the use of a �dynamic pigeonhole principle� that generalizes the conventional pigeonhole principle.",Richard M. Karp,1094,3
39,40,1032,Eli Upfal,"A Factorization Machine Framework for Testing Bigram Embeddings in
  Knowledgebase Completion",1988,"Three parameters characterize the performance of a probabilistic algorithm: T, the runtime of the algorithm; Q, the probability that the algorithm fails to complete the computation in the first T steps and R, the amount of randomness used by the algorithm, measured by the entropy of its random source.We present a tight tradeoff between these three parameters for the problem of oblivious packet routing on N-vertex bounded-degree networks. We prove a (1 - Q) log N/T - log Q - &Ogr;(1) lower bound for the entropy of a random source of any oblivious packet routing algorithm that routes an arbitrary permutation in T steps with probability 1 - Q. We show that this lower bound is almost optimal by proving the existence, for every e3 log N ? T ? N1/2, of an oblivious algorithm that terminates in T steps with probability 1 - Q and uses (1-Q+&ogr;(1))logN/T-logQ independent random bits.We complement this result with an explicit construction of a family of oblivious algorithms that use less than a factor of log N more random bits than the optimal algorithm achieving the same run-time.",David Peleg,1040,14
40,41,1040,David Peleg,"Neural Networks for Joint Sentence Classification in Medical Paper
  Abstracts",1987,"In this paper concurrent dynamic logic (CDL) is introduced as an extension of dynamic logic tailored toward handling concurrent programs. Properties of CDL are discussed, both on the propositional and first-order level, and the extension is shown to possess most of the desirable properties of DL. Its relationships with the &mgr;-calculus, game logic, DL with recursive procedures, and PTIME are further explored, revealing natural connections between concurrency, recursion, and alternation.",David Peleg,1040,33
41,42,1041,Srinivas Devadas,De-identification of Patient Notes with Recurrent Neural Networks,1991,"The problem of verifying the equivalence of interacting finite state machines (FSMs) described at the logic level is addressed. The problem is formulated as that of checking for the equivalence of the reset/starting states of the two FSMs. First, separate sum-of-product representations of the ON-sets and OFF-sets of each of the flip-flop inputs and primary outputs of the sequential circuit, are extracted using the PODEM algorithm. We describe a fast algorithm for state differentiation based on this representation. The input as well as the state space is implicitly enumerated through a process of repeated cube intersections to generate the State Transition Graph (STG).In contrast to previous approaches, this algorithm can be efficiently generalized for verifying distributed-style specifications of interacting sequential circuits, exploiting the nature of the interconnection topology. Pipeline latches in a distributed-style specification typically do not add complexity to the sequential behavior of a circuit, but greatly add to the complexity of traditional approaches to verifying sequential circuits. Pipeline latches are easily incorporated into our generalized, hierarchical verification strategy whereby the states of pipeline latches can be implicitly enumerated.Experimental results indicate the superior efficiency of this approach as compared to previous approaches for FSM verification. It is possible to verify examples with more than 1050 states.",David Peleg,1040,86
42,43,1042,Abhijit Ghosh,"Reasoning with Memory Augmented Neural Networks for Language
  Comprehension",1991,"The problem of test generation for non-scan sequential VLSI circuits is addressed. A novel method of test generation that efficiently generates test sequences for stuck-at faults in the logic circuit by exploiting register-transfer-level (RTL) design information is presented. Our approach is targeted at chips with data-path like STG.The problem of sequential test generation is decomposed into three subproblems of combinational test generation, fault-free state justification and fault-free state differentiation. Standard combinational test generation algorithms are used to generate test vectors for stuck-at faults in the logic-level implementation. The required state corresponding to the test vector is justified using a fault-free justification step that is performed using the RTL specification. Similarly, if the effect of the fault has been propagated by the test vector to the flip-flop inputs alone, the faulty state produced is differentiated from the true next state by a differentiation step that uses the RTL specification.New and efficient algorithms for fault-free state justification and differentiation on RTL descriptions that contain arithmetic as well as random logic modules are described. Unlike previous approaches, this approach does not require the storage of covers or a partial STG and can be used to generate tests for entire chips without scan. Exploiting RTL information, together with a new conflict resolution technique results in improvements of up to 100X in performance over sequential test generation techniques restricted to operate at the logic level. We have successfully generated tests for the viterbi speech processor chip [18].",Srinivas Devadas,1041,77
43,44,1043,Paul Feldman,Automatic Rule Extraction from Long Short Term Memory Networks,1988,"We show that interaction in any zero-knowledge proof can be replaced by sharing a common, short, random string. We use this result to construct the first public-key cryptosystem secure against chosen ciphertext attack.",Paul Feldman,1043,63
